Source,Prediction,Target,Meteor Score,Bleu Score
"['সুতরাং, বাইবেলের এই কাব ্ দ-সঙ ্ গে সম ্ পর ্ কিত বোঝাপড়ার ক ্ ষেত ্ রেই প ্ রভাব পড়ে ।']",['So this word in the Bible is about understanding.'],"Hence, the very understanding of the consonantal Biblical text was endangered.",0.20609318996415768,4.306075028866568e-155
['ভারতে বিলিয়নের সংখ ্ যা বিশ ্ বে সবথেকে চতুর ্ থ ।'],"['In India, the number of billions is the fourth largest in the world.']",India has the fourth-highest number of billionaires globally.,0.0,0
['Krymchak বর ্ ণনাদের গবেষণায় প ্ রশ ্ বাস করা যায় যে তাদের গোষ ্ ঠী শ ্ লথগতভাবে গড ় ে ওঠে এবং ভিন ্ ন ভিন ্ ন প ্ রভাবের শক ্ তি দিয়ে গঠিত ছিল ।'],['Research of Krymchak dancers believes that their communities were built collectively and powered by different means.'],The study of Krymchak surnames affirms that their community formed slowly and was composed from elements of different origins.,0.17983870967741936,0.07808688094430305
['ব ্ রীজ বন ্ ধ করুন ।'],['Just stop the bridge.'],Lock down the bridge.,0.0,0
['আমি স ্ ক ্ রিপ ্ টটা খুবই ভালোবাসতাম ।'],['I loved the script very much.'],I liked the script a lot.,0.0,0
['সেকে প ্ রথমে কথা বলার অনুমতি দেয়া হয়নি ।'],"[""He wasn't even allowed to speak at the beginning.""]",He wasn't allowed to speak first.,0.078125,4.717068855239749e-155
['সাফরন-আচ ্ ছন ্ ন Mundus কুখ ্ যাত kaavi munde'],"['["""" Mundus """" in French] The famous kaavi munde.']",Saffron-coloured mundus are known as kaavi munde,0.0,0
['প ্ রথম ছবিটা ।'],['First picture.'],First picture.,0.0,0
"['"""""" তখনই আমরা বিজ ্ ঞানের ক ্ ষেত ্ রে অন ্ যতম সেরা হয়ে উঠতে পারি এবং বিশ ্ বে অনুশীলন করিনা । """"""']","['""It is then that we will be able to become the best in science and not be put off in the world.""']","""""""It is only then that we can be amongst the best in the world and not followers, in science.""""""",0.08333333333333336,4.1371430671115046e-155
"['""""অভিজ ্ ঞানী,\'শিকার\'"" মানে আপনি কি?""']","['"""" Scientist, what do you mean,\'scientist\'?""']","""Doctor, what did you mean by """"hunting""""?""",0.3893004115226338,5.1548279763727125e-155
['ভারতের ক ্ ষেত ্ রে နယူးဇီলনকে অবস ্ থান করছে ३९ runs করে আর ৬টি বেক ্ ষর মধে ্ য আছে ।'],['India has got New Zealand on 39 runs out of six.'],India still trail New Zealand by 39 runs with six wickets in hand.,0.07092198581560284,4.306075028866568e-155
['এটার ভিতরে কিছুই শোনা উচিত না ।'],"[""It's not something you should be hearing.""]",Nothing should be read into it.,0.0,0
['সর ্ বশেষ শপ ্ তিটা মাসাই ম ্ যামনোডিস দ ্ বারা দেওয ় া হয় । তিনি ১২ শতাব ্ দীর প ্ রখ ্ যাত ট ্ যাম ্ ডিক জ ্ ঞানী ।'],"['The last semester is dedicated to months by a mammoth, a 12th-century mathematician.']","The final blow was administered by Moses Maimonides, the noted Talmudic scholar of the 12th century.",0.0,0
['এখানে আপনি কী করেন?'],['What are you doing here?'],What do you do here?,0.1694915254237288,5.808561601872144e-155
"['প ্ রেসিডেন ্ ট রাম ্ ন ্ কোভিন ্ দ স ্ বাক ্ ষর মধে ্ য করেছে, மத்திய அமைச்சர ্ যবস ্ থার এই পরামর ্ শটা ।']","[""President Ramnequin was among the sponsors, the Cabinet's suggestion.""]",President Ram Nath Kovind has signed the recommendation of Union Cabinet.,0.0,0
"['আসুন, আমার সাথে কথা বলুন']",['Come talk to me.'],"come, speak to me",0.14492753623188406,5.4617059812245815e-155
"['এটা বর ্ ণ, প ্ রোটিন, ক ্ যাল ্ টিম, ম ্ যাম ্ নিজেন, ক ্ যাট ্ যাসিম, উত ্ যাপ, वि ্ যাটিম เอ, वि ্ যাটিম কে, এবং অ ্ যাথক ্ রোস সমৃদ ্ ধ ।']","[""It's arsenic, it's protein, it's calcium, it's magnesium, it's calcium, it's urea, it's vitamin A, it's vitamin K, and it's all in the form of alcohol.""]","It is rich in iron, protein, calcium, magnesium, potassium, vitamin A, vitamin K, and phosphorus.",0.23801498127340823,3.2170142581658837e-155
['আমি এখানেই থাকতে যাব ।'],"[""I'll stay here.""]",I'll just stay over here.,0.12195121951219512,6.6709427497276e-155
['আপনারা সবাই গ ্ রেপ ্ তার হয়ে যাবেন ।'],"[""You'll all be arrested.""]",Youll all be arrested.,0.0,0
"['ইন ্ ডিয়ান ব ্ যাঙ ্ ক এসোসিয়েশন (ই বি এ) এর সঙ ্ গে আজকারবারের বন ্ ধুত ্ ব অর ্ থনৈতিক সংক ্ ষেত ্ রের বিক ্ ষোজন সঙ ্ গে ব ্ যর ্ থ হল, তাই স ্ যাক ্ রিক ডাল স ্ থান বলে, সি.எச். वेंकट ্ যালাম ব ্ যবস ্ থাপক সেক ্ টর ্ রী তা বললেন ।']","['The Association of Indian Banks was convened today for the restructuring of the economy, so Secretary of State for Banking, C.H. Venkatle said.']","Todays talks with Indian Banks Association (IBA) failed on demand from unions, so strike call stands, AIBEA General Secretary C H Venkatachalam said.",0.01773049645390071,0
['সমস ্ ত উন ্ নয়নের কাজ বন ্ ধ হয়ে গেছে ।'],['All development is stopped.'],All development work has come to a halt.,0.0,0
"['এই ঘটনাগুলো হল উদ ্ মহত ্ যা, অপরাধ, নৈতিক অবকাশ, একজন মানুষের ব ্ যক ্ তিগততা, সময়, জায়গা, আর সৃষ ্ টিকর ্ তা ।']","['These events are suicide, crime, the moral character, the personality of a person, time, place, and the Creator.']","These occurrences are things such as suicide, crime, moral outrage, a persons personality, time, space, and God.",0.49218174058122843,0.0843949472569722
"['"""""" আমাদের জন ্ য সবসময় চুক ্ তি স ্ থাপন করা কঠিন । """"']","['"""" It\'s always hard for us to make deals.']","""""""It's hard for us always being contractual.""",0.1507537688442211,5.273843307431707e-155
"['যদিও, এই গাড ় ির চালক, দুর ্ ঘটনা পর ্ যন ্ ত স ্ থান থেকে ছড ় ে গেল ।']","['However, the driver, he got out of the spot.']","The driver, however, fled from the scene after the accident.",0.11363636363636363,3.110343094808483e-155
['অভিযুক ্ ত তিনজন'],['Three of them.'],The three accused,0.0,0
['তোমার সাফল ্ যের গোপন তথ ্ য কি?'],"[""What's the secret to your success?""]",Whats the secret of your success?,0.09090909090909091,0
['(ইহুদি ধর ্ ম 4:9) নারীদের দিয ় ে পুরুষদের থেকে শ ্ রেষ ্ ঠ হয ় ে কাজ করা হয়েছিল ।'],['Women made the forerunners over men.'],(John 4:9) Women were treated as inferior to men.,0.12096774193548386,3.110343094808483e-155
['কারণ এটা কোন প ্ রতিবর ্ গিক নয ় ।'],"[""Because you know, it's not ephemeral.""]",Because this is no meteor.,0.0892857142857143,4.497548684366688e-155
['আমরা ইতিবাচক রাজনীতিতে কাজ করি ।'],['We work in positive politics.'],We do positive politics.,0.36764705882352944,0.25819888974716115
['শিল ্ পকর ্ মগুলো শুধুমাত ্ র দৃশ ্ যমান অংশ ছিল ।'],['Industry was the only visible part.'],The art works were just the visible part.,0.07352941176470588,3.9866508128531494e-155
"['AHA এর লক ্ ষ ্ যবিবেচনায় স ্ বীকার অসীমভ, যিনি ১৯৮৫ সাল থেকে পর ্ যন ্ ত তার মৃত ্ যু পর ্ যন ্ ত 1992তে প ্ রেসিডেন ্ ট ছিলেন, এবং লেখক কোর ্ ট ভ ্ রন ্ জিউট, যিনি ২০০৭ সালে তার মৃত ্ যু পর ্ যন ্ ত প ্ রেসিডেন ্ ট হিসেবে কাজ করেছিলেন ।']","['There is Mr. Asimov, who was president from 1985 until his death in 1992, and the editor-in-chief, who was president until his death in 2007.']","Noted members of The AHA included Isaac Asimov, who was the president from 1985 until his death in 1992, and writer Kurt Vonnegut, who followed as honorary president until his death in 2007.",0.19132653061224492,0.042533941005911347
"['এটির মধ ্ যে নৃত ্ যশিল ্ প, সঙ ্ গীত, চিত ্ রশিল ্ প আর চিন ্ তাভাবনা উপস ্ থাপন করা ছিল ।']","['It was about dance, music, painting and thought.']","It included dancing, singing, acting and reciting poetry.",0.09090909090909091,0
['6 প ্ রাচীন শিক ্ ষকদের জন ্ য প ্ রাচীন এক দিনটা কেমন ছিল?'],['What was an ancient day for six ancient teachers?'],6 What was a typical day like for the ancient shepherd?,0.2726337448559671,0.08574929257125444
['স ্ থানীয় মিডিয়া ।'],['Local media.'],Local media.,0.0,0
"['""প ্ রাধান ্ য দেওয়ার জরুরী বিষয় হল যে, \'কোয়ান ্ টান এর সন ্ তান\' এর এই বৈশিষ ্ ট ্ য কার ্ যক ্ রম কোন নকশার মধ ্ যে নেই ।- លូកា ៣: :36,  footnote ।""']","['""It is vital to realize that the attribute of the quantum child does not lie in the measurements."" — Luke 3: 36, footnote.']","""Not to be overlooked is the fact that the expression """"son of Cainan"""" is not found in some manuscripts. - Luke 3:36, footnote.""",0.09803921568627451,3.2550867580473435e-155
['এটি অন ্ যতম দীর ্ ঘস ্ থানশীল প ্ রাণীদের মধ ্ যে দেখা যায় ।'],['You see it in one of the longest-lived animals.'],It is one of the deepest-dwelling fish known.,0.05555555555555556,3.5158955382876195e-155
['আমি তার চোখে তাকালাম ।'],['I looked into her eyes.'],I looked into her eyes.,0.0847457627118644,5.4617059812245815e-155
['শিক ্ ষা শুরু'],['So education begins.'],The crackdown begins,0.125,7.458340731200295e-155
"['যাহোক, সে স ্ কুলে পাঠানো হয ় নি ।']","['However, she did not go to school.']","He was, however, not admitted to the hospital.",0.0,0
"['একিসময়, এর মধে ্ য একটি অন ্ যতম গুরুত ্ বপূর ্ ণ ভিতর ্ ণ অর ্ থায়নের উৎস হিসেবে বিদেশী থেকে দেওয়া অর ্ থের পরিমান গত অর ্ থের তুলনায় গত অর ্ থের চেয়ে কম চলেছে ।']","[""At the same time, it's one of the most important external finances for which the amount of money given abroad is decreasing in proportion to last year's money.""]","At the same time, remittances from abroad one of the key sources of external financing in have been decreasing in recent months compared to last year.",0.07009345794392523,3.2550867580473435e-155
['তিনি পক ্ রনের জীবনে প ্ রাথমিক মৃত ্ যুর প ্ রথম বছরের মধে ্ য প ্ রাথমিক প ্ রধানমন ্ ত ্ রী অ ্ যাটল বয় ্ যাদি ভয ় োগিককে অনুমানন করেছিলেন ।'],"['In his first year of life, he was like the first Prime Minister, Atal Bihari Vajpayee, in his first year of death.']","Rajnath Singh pays tribute to former prime minister Atal Bihari Vajpayee on his first death anniversary, at Pokhran.",0.0,0
['সে বাইরে এলো না ।'],"[""He didn't come out.""]",He didnt come out.,0.24390243902439024,9.434137710479516e-155
['Colorful Logic game with arcade and tactics modes'],['Colorful Logic game with arcade and tactics modes'],Colorful Logic game with arcade and tactics modes,0.0,0
['এই মন ্ ত ্ রের প ্ রক ্ ষেত ্ রীয় প ্ রধান হচ ্ ছে ব ্ যস ্ ত ্ রী ।'],['The absolute master of this mind is the man.'],The administrative chief of this ministry is the Secretary.,0.042735042735042736,2.8707166859108942e-155
['যে প ্ রতিষ ্ ঠান!'],['What a institution!'],What organization!,0.09615384615384616,0
['তিনি বললেন তিনি এটা নিয়ে পরীক ্ ষা করার কথা বলবেন আর হবেন প ্ রয়োজনীয় সক ্ রিয ় তার ।'],['He said he was going to test it and take the necessary action.'],He said he would look into it and take necessary action.,0.04464285714285715,3.1802471734322267e-155
"['প ্ রায ় ই, এই আদর ্ শ অনুসারে অন ্ য কোন মানুষের কাছ থেকে মিটিং করার প ্ রশ ্ ন অনুসরণ করে ।']","[""So often, it follows that he's simply asking for a kiss.""]","Often, the invitation follows a request for a meeting from the other person.",0.0,0
['অন ্ য পাখিদের ।'],['In other birds.'],other birds.,0.0,0
['এখানে আর কিছু বলার নেই ।'],"[""There's nothing more to be said.""]",There is nothing more to say on this.,0.49074074074074076,0.447213595499958
"['শুক ্ যন ্ দ ্ র ভিন ্ ন এশিয়ার মধ ্ যে, প ্ রায় দ ্ বিগুন সংখ ্ যক রাশিয়ার মুসলমান ယခု বছর হাদি কার ্ য অনুষ ্ ঠান করতে চাচ ্ ছেন সাউদ আরব এর ধারণ করে দেওয়ার চেয়ে ।']","['In Southeast Asia, almost twice the number of Russian Muslims are planning to do Hajj this year than Saudi Arabia.']","According to Window on Eurasia, there are nearly twice as many Russian Muslims who'd like to perform hajj this year than Saudi Arabia would allow into the country.",0.022026431718061675,2.1993446941558915e-155
['মুখ ভারসাম ্ য পুষ ্ কা'],['মুখ rejuvenation.'],Distort the face,0.0,0
"['সুতরাং যখন তুমি এবং যারা তোমার সঙ ্ গে আছে ময়হারে নিহিত হও তখন বল, প ্ রতিষ ্ ঠিত স ্ বর ্ গ - প ্ রশংসা যা অস ্ তিত ্ বরের, ক ্ ষতিকর ্ মীদের মানুষদের থেকে আমাদের উদ ্ মুক ্ ত করেছে । """"']","['So while you\'re at it, and the rest of you are at it, just say, """" This created glory, """" that is the praise that lifted us from the people who are invisible and corrupt.']","""Then, when thou art seated in the Ark and those with thee, say, """"Praise belongs to God, who has delivered us from the people of the evildoers.""""""",0.1692019400352734,0.03960590171906696
['এই ঘটনাতে দুই শ ্ রমিক ্ ষার ্ থী মারা গেল ।'],['Two students died in the incident.'],Two workers got injured in the incident.,0.06578947368421054,4.1371430671115046e-155
"['What are you trying to prove, Edmund?']","['What are you trying to prove, Edmund?']","What are you trying to prove, Edmund?",0.1388888888888889,0
"['সে বললো, আত ্ মীয় প ্ রাণগুলি এখনো পুনরুদ ্ ধার হয়ে গেছে ।']","['He said, you know, the indigenous species are still alive.']","The bodies are yet to be recovered, he added.",0.05154639175257732,0
['আইসবাদের সন ্ ত ্ রাসবাদী গ ্ রুপটি এই আক ্ রমণের জন ্ য দায়িত ্ ব তুলে ধরেছিল ।'],"['Well, the Islamist terrorist group was responsible for that attraction.']",The ISIS terror group claimed responsibility for the attack.,0.04854368932038835,3.1802471734322267e-155
['আমাদেরকে নিয ় মকানুনগুলো অনুসরণ করতে হয ় ।'],['We have to follow the rules.'],We have to follow rules.,0.0,0
"['সুতরাং, একজন সাফল ্ যের জন ্ য সংগ ্ রাষ ্ ট হয়েছে যদি তার সমস ্ যা এত গুরুত ্ বপূর ্ ণ ছিল, তাহলে সে বিশ ্ বাস ্ থ ্ যভাবে চিন ্ তা করতে পারে যে, কী ভাবে তা পূর ্ ণগ ্ রাষ ্ ট করার প ্ রয়োজন আছে ।']","[""So, if a person's struggle to thrive is so important, they can reason reason positively in what way they're going to need to thrive.""]","Therefore, a person baptized while such a serious impediment existed may appropriately consider the necessity of rebaptism.",0.08771929824561403,2.794150442713652e-155
['উৎস: ইন ্ টারনেট'],['Source: The Internet.'],Source: Internet,0.12195121951219512,0
['তারা হাই কোর ্ ট এ আপিলের প ্ রতিজ ্ ঞা করেছেন ।'],['They were doing business in high school.'],They had appealed to the High Court.,0.06493506493506494,3.9866508128531494e-155
['এটাই আমাদের পরিকল ্ পনা ।'],"[""That's the plan we had.""]",This is our plan.,0.11904761904761905,6.08970970641905e-155
['কিন ্ তু এটা শুধুমাত ্ র সরকার নয় ।'],"[""But it's not just government.""]",But it isnt just the government.,0.0,0
['শেষ মুহূর ্ ত পর ্ যন ্ ত তারা দ ্ বন ্ দ ্ ব করত ।'],"['Until the last moment, they were fighting.']",They were fighting till the last moment.,0.054945054945054944,3.422121424610076e-155
['বিশ ্ বায়নকেই সংস ্ কৃতিক ঐক ্ যগুলির ব ্ যাখ ্ যা হিসেবে বিশ ্ লেষণ করা হয়েছে ।'],['Globalization is the explanation of the cultural unity.'],Among many applicable topics within the field of study are: Globalization has been theorised as an explanation for cultural convergence.,0.028735632183908042,3.2550867580473435e-155
['জে(এস) প ্ রেসিডেন ্ ট ও প ্ রাক ্ তন প ্ রধানমন ্ ত ্ রী HD Deve Gowda এর সন ্ তান  Kumaraswamy একটি ভিক ্ ষিতা ।'],"['One exception is the son of U.S. President and former Prime Minister HD Deve Gowda, Kumaraswamy.']","Kumaraswamy, son of the JD(S) supremo and former Prime Minister HD Deve Gowda, is a Vokkaliga.",0.16449410304158907,0
"['আমি এটাকে জগাখিচুড ় ি করে রেখে চলেছি, তাই এটা অনিরপরাধ রাস ্ তাকদের চিন ্ তায় ফেলে দিচ ্ ছে ।']","[""I don't have a lot of storage in my house, so it's uninhabitable.""]","I left it noisy, so it scares away any pain-in-the-ass innocent bystanders.",0.10067114093959731,4.497548684366688e-155
['সাম ্ প ্ রতিক সমস ্ যার একটি ভিডিও সামাজিক মাধ ্ যমে দ ্ রুত ছড়িয়ে পড়ে ।'],['A video of the recent crisis was viral as well.'],A video of the latest incident has gone viral on social media.,0.0,0
"['তাই, আমি demanding a CBI inquiry.']","['So, I demanding a CBI inquiry.']","So, I am demanding a CBI inquiry.",0.08064516129032259,0
['তারপর रुमाल দিয়ে শুষ ্ ক করুন ।'],['Then wipe with a towel.'],Then pat dry with a towel.,0.07042253521126761,5.273843307431707e-155
['৫০ শতাংশ নারীদের সক ্ রিয়ভাবে অংশগ ্ রহণ করে সম ্ প ্ রতিষ ্ ঠানের উন ্ নয়নের ক ্ ষেত ্ রে যাত ্ রা এক বিস ্ ময়কর উচ ্ চতা পর ্ যন ্ ত করতে পারে ।'],"[""Fifty percent of women are actively participating, and that's an amazing amount of things that can be done to improve organizations.""]",Active involvement of 50 percent women power in the development journey of nation can propel the country to amazing heights.,0.0,0
['ত ্ যাপ ্ ত হয ় তির বিরুদ ্ ধে সন ্ ত ্ রণ করা হয ় ।'],['Acts of terrorism are amplified.'],Police have been attacked.,0.0,0
['স ্ টোক ্ স ছিল এই মঞ ্ চের অন ্ যতম অংশ ।'],['Stokes was one of the early participants.'],Stokes was man of the match.,0.0,0
"['আজ পর ্ যন ্ ত, সে আমার বন ্ ধুদের মধ ্ যে একজন ।']","[""Until today, she's one of my friends.""]","To this day, he is one of my closest friends.",0.14084507042253522,5.273843307431707e-155
"['"""""" আগের ইন ্ ডিয়ায় ক ্ যাপ ্ টিন மஹிந்த সিঞ ্ চ ডোনি এই আন ্ তর ্ জাতিক ক ্ রিক ্ ট সেখান থেকে বন ্ সর ঘোষণা করেছিলেন । """"']","['"""" The former Prime Minister of India, Mahinda Singh Dhoni, has announced the departure of this international group.""']","""""""Former India captain Mahendra Singh Dhoni has announced his retirement from international cricket.""",0.03225806451612904,2.521379360875542e-155
['আপনারা এখনকার অর ্ থনীতির মধ ্ যে এইসব জিনিস থেকে মুক ্ ত হয়ে গেছেন'],['You are exempt from all of those things in the economy that we have today.'],You have been freed of all these things in this years budget,0.12658227848101264,5.273843307431707e-155
['সবচেয়ে ভাল অ ্ যানিমেশন চলচ ্ চিত ্ র: আ Spider-Man: Into The Spider-Verse'],['Best animation: A Spider-Man: Into The Spider-Verse.'],Best Animated Feature Film: Spider-Man: Into The Spider-Verse,0.06993006993006994,0
['প ্ রাক ্ তন পাকিস ্ তান ক ্ যাপটিন ভারসামিক আkram অষ ্ ট ্ রেলিয়ার বিরুদ ্ ধে পরীক ্ ষা পর ্ যায়ে তাদের অসাধারন উল ্ লেখযোগ ্ য প ্ রতিফলন করার জন ্ য Team India কে প ্ রশংসা করেছে ।'],"[""The former Pakistani coup d'état, Prime Minister Akram, has rewarded Team India for demonstrating a remarkable feasibility in the anti-Australian experiment.""]",Former Pakistan captain Wasim Akram applauded Team India for their remarkable turnaround in the Test series against Australia.,0.0,0
['আমরা এই বিষয়টা পরবর ্ তী সেশনে তুলে ধরবো ।'],['We will raise that at the next session.'],We will raise this issue in the next session.,0.1648351648351648,8.170202920075766e-155
['ভ ্ রান ্ তে আসার আগে রোগী পরীক ্ ষা করা হচ ্ ছে । শুধু অস ্ থমিত ভ ্ রমণকদেরই ভ ্ রমন করা সম ্ ভব ।'],"['They were carrying out pre-arrival checkups, for which undocumented travelers were the only ones allowed.']",Medical screening of passengers would be done before taking the flight. Only asymptomatic passengers would be allowed to travel.,0.0,0
['প ্ রায়শই বিশৃঙ ্ খল ধাক ্ কা খায় ।'],"[""Usually it's chaos.""]",Chaos usually ensues.,0.0,0
['একবারও?'],['Once?'],yet again?,0.17241379310344826,0
['মোবাইল এবং ইন ্ টারনেট যোগাযোগও ক ্ ষতিগ ্ রস ্ থ হয়ে গেছে ।'],['Mobile and Internet connections are also down.'],Mobile and internet connection has also been affected.,0.21306818181818182,0.09128709291752769
"['যুক ্ তরাষ ্ ট ্ রের সশস ্ ত ্ র সৈন ্ যসক ্ ষেত ্ রে কাজ এড়াতে সে ফ ্ রান ্ সে ভ ্ রমণ করলো ফ ্ রেঞ ্ চ আর ্ মিতে যুক ্ ত হবার জন ্ য, ১৯۴۶ সালে ।']","['After retiring from the United States Armed Forces, he moved to France to join the French Army, in 1946.']","To avoid service in the United States Armed Forces, he travelled to France to join the French Army in 1946.",0.03355704697986577,2.130954494628701e-155
['সুদ ্ বন ্ ধ ব ্ যবস ্ থায় (SBI) বৃদ ্ ধিজীবিদের জন ্ য সর ্ ব জনগোষ ্ ঠীভুক ্ ত থেকে 50-ব ্ যাপী উচ ্ চ মূল ্ য বেতনের বন ্ ধক ্ ষনা দিচ ্ ছে ।'],"[""There's a system called the escrow bank, which bans large-scale, 50-billion-dollar compensation for growers from the global economy.""]",SBI is offering senior citizens 50 bps higher interest rate than that given to general public.,0.017793594306049824,2.2236475832425384e-155
['শুধুমাত ্ র দুটি ভিডিও দৃশ ্ যমান হয়েছে ।'],"[""We've only seen two videos.""]",Only two videos have surfaced.,0.0,0
['ব ্ যাক ্ রীস ্ ট ক ্ যান ্ সার necə পরিষ ্ কার করা হয়?'],['So how do you clean a breast cancer?'],How is pancreatic cancer treated?,0.06097560975609756,0
['তিনি এখন আর তদন ্ ত করতে হচ ্ ছেন police custody এ ।'],"[""She's now going to be in police custody.""]",He is currently being questioned in police custody.,0.0,0
['চারটা মোবাইল ফোনও পুনরুদ ্ ধার করা হয়েছে ।'],['Four mobile phones have been recovered.'],Four mobiles were recovered.,0.0,0
"['একটা গর ্ ধ কুকুর যে একটা মাংস পিক ্ সিক টেবিলে দেখে, সে চিন ্ তা করতে না পারতো তার মাংসটা কি খাবো না ।']","[""When a dog sees a piece of meat at a picnic table, he can't help but wonder what the meat he's going to eat.""]",A hungry dog finding a piece of meat on a picnic table would hardly ponder whether it should eat the morsel.,0.14957264957264957,5.850803834986753e-155
['জমি-ট ্ যাক ্ স'],['Landscapes.'],land-tax,0.0,0
