Source,Target,Prediction,Meteor,Bleu
একশো কোটি টাকা বা তার বেশি অর্থের অধিকারীদের হিসেবের নিরিখে ভারতের স্থান বিশ্বে চতুর্থ।,India has the fourth-highest number of billionaires globally.,We are now the fourth largest economy in the world with a deposit of over one hundred crore rupees.,0.19801980198019803,0.024182541670333724
ক্রিমচাক পারিবারিক নামের অধ্যয়ন থেকে নিশ্চিত হওয়া যায় যে তাদের সম্প্রদায়টি ধীরে ধীরে গঠিত হয়েছিল এবং এটি বিভিন্ন উত্সের উপাদানগুলি থেকে তৈরি হয়েছিল।,The study of Krymchak surnames affirms that their community formed slowly and was composed from elements of different origins.,The Christchurch family name can be ascertained that their community gradually evolved and was shaped by different forms of waves.,0.4121890547263682,0.2513123449750173
ব্রিজ বন্ধ করো.,Lock down the bridge.,Stop the bridge.,0.600907029478458,0.41368954504257255
চিত্রনাট্য খুব ভাল লেগেছিল।,I liked the script a lot.,The script was very good.,0.3703703703703703,0.05789300674674099
তিনি প্রথমে কথা বলতে রাজি হননি।,He wasn't allowed to speak first.,He did not respond to questions.,0.189873417721519,0.08164965809277261
জাফরান রঙের মুন্ডু কাভি মুন্ডু নামে পরিচিত।,Saffron-coloured mundus are known as kaavi munde,"The Saffron coloured Mundu, popularly known as 'Kavi Mundu' is one of the finest silk fabrics of India.",0.30423280423280424,0.08084520834544433
প্রথম দিকের ছবি।,First picture.,This is a turning point.,0.15151515151515152,0
তাহলেই বিজ্ঞানে আমরা কাউকে অনুসরণ না করে বিশ্বসেরা হয়ে উঠবো।,"""""""It is only then that we can be amongst the best in the world and not followers, in science.""""""","It is only then that we can be among the world’s best in science, not followers.",0.6238241214624968,0.4695799295953461
"""ডাক্তার, আপনি """"শিকার"""" দ্বারা কি বুঝাতে চেয়েছেন?""","""Doctor, what did you mean by """"hunting""""?""","Doctor, what would you like to say by shrika",0.3075862068965517,0.06454972243679029
ভারতের ৩৪৭ রান তাড়া করে নিউজিল্য়ান্ড ১১ বল বাকি থাকতেই জয় ছিনিয়ে নিল।,India still trail New Zealand by 39 runs with six wickets in hand.,"Chasing a total of 347 runs, New ealand took the total to 15 for the second day.",0.13793103448275862,0.019174124721184262
এতে মুষড়ে পড়বার কিছু নেই।,Nothing should be read into it.,There is no reason to worry about this.,0.1388888888888889,0
"শেষ আঘাতটি আসে মোশি মাইমোনাইডসের এর দ্বারা, যিনি ছিলেন ১২শ শতাব্দীর একজন উল্লেখযোগ্য তালমুড পণ্ডিত।","The final blow was administered by Moses Maimonides, the noted Talmudic scholar of the 12th century.","The last shot came from Moshi Mamonides, who was one of the tallest scholars of the 12th century.",0.5760148941967125,0.2619684159977919
এখানে তুমি কি করছ পটার?,What do you do here?,What do you do here?,0.9976851851851852,1.0
কেন্দ্রীয় মন্ত্রিসভার আনা অর্ডিন্যান্সে সম্মতি দিলেন রাষ্ট্রপতি রামনাথ কোবিন্দ।,President Ram Nath Kovind has signed the recommendation of Union Cabinet.,The Ordinance has been promulgated by President Ram Nath Kovind.,0.5333561996227062,0.2697703967085066
"এসো তো, তোমার সঙ্গে কথা আছে।","come, speak to me","Come, let’s talk to you.",0.6944444444444445,0.07071067811865477
"এতে আছে প্রচুর পরিমাণ জল, ফাইবার, ভিটামিন এ, বি, কে, পটাশিয়াম, ক্যালসিয়াম, প্রোটিন, এবং খনিজ পদার্থ।","It is rich in iron, protein, calcium, magnesium, potassium, vitamin A, vitamin K, and phosphorus.","It contains a large amount of water, fibre, Vitamin A, B, K, Potassium, Calcium, Protein and minerals.",0.3448275862068965,0.03834824944236853
আমি শুধু এখানে থাকবো।,I'll just stay over here.,I will be there only.,0.14492753623188406,0
সকলকেই গ্রেফতার করা হবে।,Youll all be arrested.,"He said, all will be arrested.",0.7075471698113208,0.316227766016838
"টুইট করে All India Bank Employees’ Association-এর সাধারণ সম্পাদক সি এইচ ভেঙ্গকাটাচালম জানিয়েছেন, আজকে আইবিএ’র সঙ্গে বৈঠক ব্যর্থ হয়েছে।","Todays talks with Indian Banks Association (IBA) failed on demand from unions, so strike call stands, AIBEA General Secretary C H Venkatachalam said.","In a tweet General Secretary of All India Bank Employees' Association, C.H. Venkatachalam said that the meeting with IBA has been failing.",0.28732385992032816,0.08891363172880601
সমস্ত যা কিছু উন্নয়ন ধর্মী কাজকর্ম ছিল তা বন্ধ।,All development work has come to a halt.,All development works were stopped.,0.5563218390804598,0.17354947764605982
"এই ঘটনাগুলি হলো আত্মহত্যা, অপরাধ, নৈতিক বলাত্কার, একজন ব্যক্তির ব্যক্তিত্ব, সময়, স্থান, এবং ঈশ্বর।","These occurrences are things such as suicide, crime, moral outrage, a persons personality, time, space, and God.","These include committing suicide, committing crime, injustice, insecurity, a person's personality, time, place, and the God.",0.6686384585564761,0.17151257510598605
"""এক বছর তানদুয়েতে কর্মরত শ্রমিক গ্যারি বলেছেন, """"চুক্তিভিত্তিতে সবসময় কাজ করা আমাদের জন্য বেশ কঠিন।""","""""""It's hard for us always being contractual.""","One year ago, the Labour Gaurav Kendra in Tamil Nadu had said, It is difficult for us to work on protocols.",0.36249014972419236,0.06900655593423542
তবে দুর্ঘটনার পর পর চালক পালিয়ে গেছে।,"The driver, however, fled from the scene after the accident.","However, the driver escaped.",0.30243902439024395,0.020368903662172547
ঘটনায় অভিযুক্ত তিন জনকে .,The three accused,Three booked for the incident.,0.30303030303030304,0
আপনার সাফল্যের রহস্য কী ?,Whats the secret of your success?,What is the mystery of your success,0.6371428571428571,0.26726124191242434
(যোহন ৪:৯) পুরুষদের চেয়ে স্ত্রীলোকদের নীচু চোখে দেখা হতো।,(John 4:9) Women were treated as inferior to men.,"[Means: 4.9] In men, women used to be more visible than men.",0.2525,0.03892494720807617
কারণ এগুলো কোন উল্কা নয়।,Because this is no meteor.,These are not a resistance.,0.08333333333333333,0
আমরা ইতিবাচক রাজনীতিকে সমর্থন করি।,We do positive politics.,We support positivity politics.,0.7500000000000001,0.12909944487358058
বস্ত্রবয়ন শিল্প ছিল একমাত্র উল্লেখযোগ্য শিল্প।,The art works were just the visible part.,The textiles sector was the only significant sector.,0.16666666666666666,0.059761430466719695
আইজাক আসিমভ ১৯৮৫ সাল থেকে ১৯৯২ সালে তাঁর মৃত্যু পর্যন্ত্য এই সংগঠণটির সভাপতি ছিলেন।,"Noted members of The AHA included Isaac Asimov, who was the president from 1985 until his death in 1992, and writer Kurt Vonnegut, who followed as honorary president until his death in 2007.",Izak Asim was the President of the Organization from 1985 to 1992.,0.16877185470634415,0.04782970376551434
"কাব্যকলা, সংগীত, নাটক ও আবৃত্তিতে অংশ নিত।","It included dancing, singing, acting and reciting poetry.","Poetry, music, play and poetry.",0.5257009345794392,0.05488116360940265
৬ প্রাচীনকালের পালকের জন্য একটা স্বাভাবিক দিন কেমন ছিল?,6 What was a typical day like for the ancient shepherd?,How was it the normal day for monks in ancient times,0.2100840336134454,0.06741998624632423
স্থানীয় গণমাধ্যম.,Local media.,Local media.,0.9814814814814815,1.0
"""এই তথ্যটাকেও উপেক্ষা করা উচিত নয় যে, """"কৈননের পুত্ত্র"""" এই অভিব্যক্তিটি কিছু পাণ্ডুলিপিতে পাওয়া যায় না।""","""Not to be overlooked is the fact that the expression """"son of Cainan"""" is not found in some manuscripts. - Luke 3:36, footnote.""",This information should not be ignored and should not be misconstrued as an article of communication.,0.0819672131147541,0.02282712256501322
সমুদ্রের সবচেয়ে গভীর প্রাপ্ত মাছ হিসেবে এটি বিবেচিত।,It is one of the deepest-dwelling fish known.,It is considered to be the most deep sea fish.,0.4043478260869566,0.18257418583505533
তাহার চোখ দেখিয়া আমি মুগ্ধ হইয়াছিলাম।,I looked into her eyes.,I was impressed by looking at the differently abled people.,0.23076923076923078,0.03333333333333335
এৎপর শুরু হয় ধরপাকড়,The crackdown begins,Down the Line of Actual Control.,0.14705882352941177,0
তবে তিনি ওই সময় হাসপাতাল করেননি।,"He was, however, not admitted to the hospital.","However, he could not reach the hospital.",0.5876795162509448,0.23168286407366764
"একই ভাবে, গত বছরের তুলনায় সাম্প্রতিক মাসগুলোতে প্রবাসীদের মুদ্রা পাঠানোর পরিমাণ কমে আসছে-যা বৈদেশীক মুদ্রা আয়ের অন্যতম উৎস।","At the same time, remittances from abroad one of the key sources of external financing in have been decreasing in recent months compared to last year.","Similarly, in recent months, the currency circulation has been declining as compared to the corresponding period last year.",0.39593508343508343,0.19045895586262476
প্রাক্তন প্রধানমন্ত্রী অটল বিহারী বাজপেয়ীর মৃত্যুবার্ষিকী উপলক্ষে পোখরানে গিয়ে তাঁকে শ্রদ্ধা জানান প্রতিরক্ষামন্ত্রী রাজনাথ সিং।,"Rajnath Singh pays tribute to former prime minister Atal Bihari Vajpayee on his first death anniversary, at Pokhran.",Raksha Mantri Shri Rajnath Singh paid homage to former Prime Minister Shri Atal Bihari Vajpayee at Pokhran on his death anniversary.,0.8122066531912706,0.36187343222787294
বাইরে বেরোতেন না তিনি।,He didnt come out.,He did not venture out.,0.618872549019608,0.10000000000000002
আর্কেড এবং যুদ্ধকৌশল মোডের মাধ্যমে রঙিন লজিক খেলা,Colorful Logic game with arcade and tactics modes,3. Orchestratra and warfare modes of exploration;,0.1234567901234568,0.05982025827726344
এই মন্ত্রণালয়ের প্রশাসনিক প্রধান হিসেবে দায়িত্ব পালন করেন সরকারের সচিব।,The administrative chief of this ministry is the Secretary.,Secretary to the Government of India is the Secretary to the Government of India.,0.2857142857142857,0.12838814775327384
কি দারুন আয়োজন দেখেছ!,What organization!,Have you seen a fantastic run,0.0,0
তিনি বিষয়টি খোঁজ নিয়ে দ্রুত প্রয়োজনীয় ব্যবস্থা নবেন বলে জানান।,He said he would look into it and take necessary action.,He assured that he will look into the matter and make necessary arrangements at the earliest.,0.561875,0.15811388300841897
সাধারণত একটি ডাক শুরু করলে প্রত্যুত্তরে আরেকটির ডাক শোনা যায়।,"Often, the invitation follows a request for a meeting from the other person.","Usually, one post begins with an answer to a similar question.",0.10135135135135136,0.025138596337448173
অন্য কোনও জাতের পাখি।,other birds.,"Brothers and sisters,",0.0,0
এই নিয়ে আর কিছু বলার নেই।,There is nothing more to say on this.,There is nothing to say about it.,0.6320224719101123,0.5180586332905649
উইন্ডোজ অন ইউরেশিয়া ব্লগ জানাচ্ছে এবছর হজ্বে গমনেচ্ছু রাশিয়ান মুসলমানদের সংখ্যা সৌদি আরব যতজনকে পারমিশন দেবে তার থেকে প্রায় দ্বিগুন।,"According to Window on Eurasia, there are nearly twice as many Russian Muslims who'd like to perform hajj this year than Saudi Arabia would allow into the country.",The number of Russian Muslims going to Haj this year is almost double the number of Muslims from Saudi Arabia going to Haj this year.,0.2912884433003658,0.18814423655269086
খিঁচানো,Distort the face,Cutting-edge,0.0,0
"যখন তুমি ও তোমার সঙ্গীরা নৌকায় আরোহণ করবে, তখন বলঃ আল্লাহর শোকর, যিনি আমাদেরকে জালেম সম্প্রদায়ের কবল থেকে উদ্ধার করেছেন।","""Then, when thou art seated in the Ark and those with thee, say, """"Praise belongs to God, who has delivered us from the people of the evildoers.""""""","When you and your friends will board a boat, he will say: That was the one who rescued us from the clutches of the Jallianwala Bagh.",0.25522237196765496,0.18490357523445972
এতে কর্মরত দুই শ্রমিক গুরুতর আহত হয়েছেন।,Two workers got injured in the incident.,Two labourers working in the factory were seriously injured.,0.4536585365853659,0.20412414523193154
"কি প্রমান করতে চাচ্ছো, এডমন্ড?","What are you trying to prove, Edmund?",Do you want to certify it or not,0.11235955056179774,0.059761430466719695
"তিনি আরও বলেন, মরদেহ এখনও উদ্ধার করা হয়নি।","The bodies are yet to be recovered, he added.",He also said that the incident is yet to be recovered.,0.5717962860820004,0.2335496832484569
জিহাদি আনসার দ্বীনী গ্রুপ এই হামলার দায়িত্ব স্বীকার করেছে।,The ISIS terror group claimed responsibility for the attack.,The attack was neutralised by a Jewish Ansari Group.,0.31562500000000004,0.03726779962499649
আমাদের নিয়ম মেনে চলতে হয়।,We have to follow rules.,We have to follow rules and regulations.,0.9498207885304659,0.5345224838248488
"তাই, এই ধরনের গুরুতর প্রতিবন্ধকতা সত্ত্বেও, একজন ব্যক্তি বাপ্তাইজিত হয়ে থাকলে, উপযুক্তভাবেই তিনি হয়তো পুনরায় বাপ্তিস্ম নেওয়ার প্রয়োজনীয়তার বিষয়টা বিবেচনা করতে পারেন।","Therefore, a person baptized while such a serious impediment existed may appropriately consider the necessity of rebaptism.","In spite of such a serious challenge, if a person is getting invaluable, he might consider considering the need to reinstate himself.",0.28061224489795916,0.2279211529192759
’সূত্র: ইন্টারনেট,Source: Internet,INTERNATIONAL ISSUES,0.0,0
তারা উচ্চ আদালতে আপিল করার কথা জানিয়েছে।,They had appealed to the High Court.,They have appealed to High Court.,0.7120253164556962,0.4887164517296948
এটা আমাদের পূর্বনির্ধারিত কর্মসূচি।,This is our plan.,This is our programme.,0.7500000000000001,0.7071067811865475
তবে শুধু শাসন নয়।,But it isnt just the government.,"But, it is not governance.",0.4508928571428571,0.05789300674674099
শেষ মুহূর্ত পর্যন্ত লড়াই অমর করে রাখল তাঁদের।,They were fighting till the last moment.,Their struggles remain immortal.,0.06493506493506494,0
এই বিষয়ের গবেষণার ক্ষেত্রের মধ্যে রয়েছে: সাংস্কৃতিক সংহতির ব্যাখ্যা হিসাবে বিশ্বায়নকে তত্ত্বীয় ভাবে আলোচনা করা হয়েছে।,Among many applicable topics within the field of study are: Globalization has been theorised as an explanation for cultural convergence.,The domains of research on this subject include: Cultural integration with globalization as a subject of extensive discussion.,0.26786725563483976,0.022877014221357378
মুখ্যমন্ত্রী হয়েছেন প্রাক্তন প্রধানমন্ত্রী এইচডি দেবে গৌড়া-র পুত্র তথা জেডি(এস) নেতা এইচডি কুমারস্বামী।,"Kumaraswamy, son of the JD(S) supremo and former Prime Minister HD Deve Gowda, is a Vokkaliga.",Former Prime Minister Shri H.D. Deve Gowda is the son of former Prime Minister Shri H.D. Deve Gowda and the Leader of the Opposition Shri H.D. Kumaraswamy.,0.44638524987869965,0.22645540682891918
"আমি ইচ্ছা করেই দিয়েছি, যাতে আশেপাশের লোকজন ভয়ে ছোটাছোটি শুরু করে দেয়.","I left it noisy, so it scares away any pain-in-the-ass innocent bystanders.",I had decided that the people around me would start mocking.,0.07246376811594203,0.027531022470118405
সম্প্রতি সোশ্যাল মিডিয়ায় ভাইরাল হয়েছে সেই ঘটনার ভিডিও।,A video of the latest incident has gone viral on social media.,A video that had recently been viral on the social media is a cause for alarm.,0.47108208955223885,0.223606797749979
তাই সিবিআই তদন্তের দাবি তুলেছেন তিনি।,"So, I am demanding a CBI inquiry.",He therefore called for an enquiry into the matter.,0.05494505494505494,0
তারপর পেপার টাওয়েল দিয়ে মুছে শুকিয়ে নিন।,Then pat dry with a towel.,"Do not drink, Swish in the mouth for 20 seconds.",0.06666666666666667,0
আমাদের দেশে ৫০শতাংশ মাতৃশক্তি দেশের উন্নয়ন যাত্রায় সক্রিয় অংশীদার হলে আমরা দেশকে কোথা থেকেকোথায় পৌঁছে দিতে পারব।,Active involvement of 50 percent women power in the development journey of nation can propel the country to amazing heights.,When 50 percent of mother power in our country will be actively involved in the developmental journey of the country then we will be able to take the country to new heights.,0.6027027027027028,0.26940795304016235
‌ পুলিসের ওপর ইটবৃষ্টি হয়েছে।,Police have been attacked.,Some even tried to disturb the situation.,0.09433962264150944,0
ম্যাচসেরা হয়েছেন স্টোকস।,Stokes was man of the match.,The top performer of the tournament is Stuarts.,0.35493827160493824,0.18898223650461357
আজও তিনি আমার একজন ঘনিষ্ঠ বন্ধু।,"To this day, he is one of my closest friends.","Even today, he is a close friend.",0.41367521367521376,0.1421556567517502
সাবেক অধিনায়ক মহেন্দ্র সিং ধোনিকে কেন্দ্রীয় চুক্তি থেকে বাদ দিল ভারতীয় ক্রিকেট বোর্ড।,"""""""Former India captain Mahendra Singh Dhoni has announced his retirement from international cricket.""",Former Captain Mahendra Singh Yadav has been exempted from the central contract.,0.32711370262390665,0.1601591750738047
এই বাজেটে আপনারা এসব থেকে মুক্তি পেলেন।,You have been freed of all these things in this years budget,You have come out of it in this budget.,0.43314500941619577,0.26703545307500115
 সেরা পূর্ণদৈর্ঘ্য এনিমেটেড চলচ্চিত্র : ‘স্পাইডার-ম্যান : ইনটু দ্য স্পাইডার-ভার্স’।,Best Animated Feature Film: Spider-Man: Into The Spider-Verse,The film is titled SPIDER Man: Int the Spider-Vers.,0.14851485148514848,0.03726779962499649
অস্ট্রেলিয়ার মাটিতে ভারতের ভরাডুবির জন্য ভারতীয় নির্বাচকদের দুষলেন পাকিস্তানের প্রাক্তন ক্রিকেটার ওয়াসিম আক্রম।,Former Pakistan captain Wasim Akram applauded Team India for their remarkable turnaround in the Test series against Australia.,"Former Pakistani cricketer, Wasim Akram, miss out on the Indian Cricketer when India's fall in the Australian landscape.",0.29660568890768735,0.11433239009500591
এরপরের ঘটনাগুলো আমরা তুলে ধরব এই আলোচনার আগামী পর্বে।,We will raise this issue in the next session.,"Let us turn, afterwards, to the next episode of ‘Mann Ki Baat’.",0.2388369678089304,0.12309149097933275
"যাদের সংক্রমণের কোনো লক্ষণ থাকবে না, তাদেরই কেবলমাত্র সফর করার অনুমতি দেওয়া হবে।",Medical screening of passengers would be done before taking the flight. Only asymptomatic passengers would be allowed to travel.,Only asymptomatic travellers would be allowed.,0.32382340691378586,0.059157932659260413
সাধারণতঃ এর আবরণ কাচের হয়।,Chaos usually ensues.,"Usually, the fabric is covered.",0.23255813953488375,0
পেরিয়ে আবার?,yet again?,"Again, at the same time",0.15151515151515152,0
মোবাইল এবং ইন্টারনেট যোগাযোগেও নানা বিধিনিষেধ বলবৎ হয়েছে।,Mobile and internet connection has also been affected.,There are also restrictions on mobile and internet connectivity.,0.618131868131868,0.20412414523193154
১৯৪৬ সালে ফরাসী সেনাবাহিনীতে যোগ দেয়ার জন্য ফ্রান্সে চলে আসেন তিনি।,"To avoid service in the United States Armed Forces, he travelled to France to join the French Army in 1946.",He went to France in 1946 to join the French Army to join the Indian Army.,0.5325106786900806,0.3372306313135252
"সাধারণ মানুষের জন্য যে হার কার্যকর করা আছে, তার চেয়ে ৫০ বেসিস পয়েন্ট বেশি হারে সুদ পাবেন প্রবীণ নাগরিকরা, জানানো হয়েছে এসবিআইয়ের পক্ষ থেকে।",SBI is offering senior citizens 50 bps higher interest rate than that given to general public.,Senior citizens will receive interest at 50 bps higher as compared to normal rate of interest.,0.45098039215686275,0.24152294576982403
মাত্র দুটো সিনেমা মুক্তি পেয়েছে।,Only two videos have surfaced.,Just two films have been released.,0.24590163934426232,0.08164965809277261
ফুসফুসের ক্যানসারে প্যালিয়াটিভ চিকিৎসা কীভাবে হয়?,How is pancreatic cancer treated?,How is plasma therapy possible in the case of lung cancer,0.3931623931623932,0.1651445647689541
বর্তমানে তাদের পুলিশ হেফাজতে জিজ্ঞাসাবাদ করা হচ্ছে।,He is currently being questioned in police custody.,Both were presently in custody.,0.3627873563218391,0.05488116360940265
তার থেকে উদ্ধার হয় চারটি মোবাইল।,Four mobiles were recovered.,Four mobile phones were seized.,0.618872549019608,0.10000000000000002
"একটা ক্ষুধার্ত কুকুর টেবিলের ওপর এক টুকরো মাংস পেলে কখনও ভেবে দেখে না যে, এই টুকরোটা খাওয়া উচিত, নাকি উচিত নয়।",A hungry dog finding a piece of meat on a picnic table would hardly ponder whether it should eat the morsel.,"If a hungry person uses a piece of meal on the table, then he never thinks whether to eat this piece or not.",0.24663677130044842,0.18860838403857946
ভূমিরাজস্ব,land-tax,Governance,0.0,0
