Source,Target,Prediction,Meteor,Bleu
['সর ্ বশেষ শপ ্ তিটা মাসাই ম ্ যামনোডিস দ ্ বারা দেওয ় া হয় । তিনি ১২ শতাব ্ দীর প ্ রখ ্ যাত ট ্ যাম ্ ডিক জ ্ ঞানী ।'],"The final blow was administered by Moses Maimonides, the noted Talmudic scholar of the 12th century.","[The last man in the queue is the Mother, who is known for her work of twelve millennia, but her work of twelve centuries is known as ""DekhoApnaDesh"".",0.27144451530612246,0.01992047682223989
['এখানে আপনি কী করেন?'],What do you do here?,[Means: What do you do at this place],0.6105769230769231,0.46291004988627577
"['প ্ রেসিডেন ্ ট রাম ্ ন ্ কোভিন ্ দ স ্ বাক ্ ষর মধে ্ য করেছে, மத்திய அமைச்சர ্ যবস ্ থার এই পরামর ্ শটা ।']",President Ram Nath Kovind has signed the recommendation of Union Cabinet.,"[This is a tribute to Sir Chhotu Ram ji by Residency's great friend, Union Minister Jugnauth.]",0.11627906976744187,0.028867513459481287
"['আসুন, আমার সাথে কথা বলুন']","come, speak to me","[Means, sit with me.]",0.18867924528301888,0
"['এটা বর ্ ণ, প ্ রোটিন, ক ্ যাল ্ টিম, ম ্ যাম ্ নিজেন, ক ্ যাট ্ যাসিম, উত ্ যাপ, वि ্ যাটিম เอ, वि ্ যাটিম কে, এবং অ ্ যাথক ্ রোস সমৃদ ্ ধ ।']","It is rich in iron, protein, calcium, magnesium, potassium, vitamin A, vitamin K, and phosphorus.",This is the meaning of : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : Thats what we know and what we know.,0.038860103626943004,0.002519523210228719
['আমি এখানেই থাকতে যাব ।'],I'll just stay over here.,[I will be here.],0.3650793650793651,0
['আপনারা সবাই গ ্ রেপ ্ তার হয়ে যাবেন ।'],Youll all be arrested.,[You will all be proud of it],0.34722222222222227,0.2182178902359924
"['ইন ্ ডিয়ান ব ্ যাঙ ্ ক এসোসিয়েশন (ই বি এ) এর সঙ ্ গে আজকারবারের বন ্ ধুত ্ ব অর ্ থনৈতিক সংক ্ ষেত ্ রের বিক ্ ষোজন সঙ ্ গে ব ্ যর ্ থ হল, তাই স ্ যাক ্ রিক ডাল স ্ থান বলে, সি.எச். वेंकट ্ যালাম ব ্ যবস ্ থাপক সেক ্ টর ্ রী তা বললেন ।']","Todays talks with Indian Banks Association (IBA) failed on demand from unions, so strike call stands, AIBEA General Secretary C H Venkatachalam said.","The sixteenth session of the Vigilance Awareness Week began today with the inauguration of the Vigilance Awareness Week in Ahmedabad, which is called the Vigilance Awareness Week. C.Venkatam Venkatachalam Venkatachalam Venkatachalam Venkataraman, said Dr.",0.13793103448275862,0.01335114674586382
['সমস ্ ত উন ্ নয়নের কাজ বন ্ ধ হয়ে গেছে ।'],All development work has come to a halt.,"Nanaji Deshmukh, Nanaji Deshmukh.",0.0574712643678161,0
"['এই ঘটনাগুলো হল উদ ্ মহত ্ যা, অপরাধ, নৈতিক অবকাশ, একজন মানুষের ব ্ যক ্ তিগততা, সময়, জায়গা, আর সৃষ ্ টিকর ্ তা ।']","These occurrences are things such as suicide, crime, moral outrage, a persons personality, time, space, and God.","These are elements of enthusiasm, crime, moral excitement, human understanding, time, place, and creativity.",0.5674674933264445,0.14654696477798235
"['"""""" আমাদের জন ্ য সবসময় চুক ্ তি স ্ থাপন করা কঠিন । """"']","""""""It's hard for us always being contractual.""","""Needless to say, it is difficult for our people to make a mockery of it"".",0.3526410564225691,0.02182178902359924
"['যদিও, এই গাড ় ির চালক, দুর ্ ঘটনা পর ্ যন ্ ত স ্ থান থেকে ছড ় ে গেল ।']","The driver, however, fled from the scene after the accident.",But the driver of the guided vehicle crashed shortly after he was caught in a fire at the right place.,0.3089774557165862,0.02809757434745082
['অভিযুক ্ ত তিনজন'],The three accused,"[For more details, please contact 3]",0.13888888888888892,0
['তোমার সাফল ্ যের গোপন তথ ্ য কি?'],Whats the secret of your success?,"[Means: Secure our Sale, Shouldn't it",0.0,0
['(ইহুদি ধর ্ ম 4:9) নারীদের দিয ় ে পুরুষদের থেকে শ ্ রেষ ্ ঠ হয ় ে কাজ করা হয়েছিল ।'],(John 4:9) Women were treated as inferior to men.,"[ [Means: Journey of Journalism 4:9] Working in Short-Term of Women, [Means: Sl.No.",0.1171875,0
['কারণ এটা কোন প ্ রতিবর ্ গিক নয ় ।'],Because this is no meteor.,[This is not a panic.],0.41218637992831536,0.07071067811865477
['আমরা ইতিবাচক রাজনীতিতে কাজ করি ।'],We do positive politics.,"[We work in positive politics, the Prime Minister said.",0.5537280701754386,0.03726779962499649
['শিল ্ পকর ্ মগুলো শুধুমাত ্ র দৃশ ্ যমান অংশ ছিল ।'],The art works were just the visible part.,[Shiles were a part of the Kashmir valley.],0.21739130434782605,0.059761430466719695
"['AHA এর লক ্ ষ ্ যবিবেচনায় স ্ বীকার অসীমভ, যিনি ১৯৮৫ সাল থেকে পর ্ যন ্ ত তার মৃত ্ যু পর ্ যন ্ ত 1992তে প ্ রেসিডেন ্ ট ছিলেন, এবং লেখক কোর ্ ট ভ ্ রন ্ জিউট, যিনি ২০০৭ সালে তার মৃত ্ যু পর ্ যন ্ ত প ্ রেসিডেন ্ ট হিসেবে কাজ করেছিলেন ।']","Noted members of The AHA included Isaac Asimov, who was the president from 1985 until his death in 1992, and writer Kurt Vonnegut, who followed as honorary president until his death in 2007.","[The Lockdown in AHA was initiated in 1992, wherein SavikaAbhiyanbhai was the founder of the AHA, and Writer Core Writer, who worked as a Resident Writer in 2007.]",0.381754240404288,0.1360509297510111
"['এটির মধ ্ যে নৃত ্ যশিল ্ প, সঙ ্ গীত, চিত ্ রশিল ্ প আর চিন ্ তাভাবনা উপস ্ থাপন করা ছিল ।']","It included dancing, singing, acting and reciting poetry.","It had the essence of Nirvana, Chithiram, Chithiram and Chinmaya.]",0.22123893805309733,0.04714045207910317
['6 প ্ রাচীন শিক ্ ষকদের জন ্ য প ্ রাচীন এক দিনটা কেমন ছিল?'],6 What was a typical day like for the ancient shepherd?,This has been possible due to the efforts made by the Government of India under the leadership of the Prime Minister Shri Narendra Modi.,0.03759398496240601,0.013459547551454133
['স ্ থানীয় মিডিয়া ।'],Local media.,[Social Media.],0.5859375,0
"['""প ্ রাধান ্ য দেওয়ার জরুরী বিষয় হল যে, \'কোয়ান ্ টান এর সন ্ তান\' এর এই বৈশিষ ্ ট ্ য কার ্ যক ্ রম কোন নকশার মধ ্ যে নেই ।- លូកា ៣: :36,  footnote ।""']","""Not to be overlooked is the fact that the expression """"son of Cainan"""" is not found in some manuscripts. - Luke 3:36, footnote.""","[Means: Is it necessary to incorporate any design and logo to the following: Name : :36, footnote.]",0.18406719601023688,0.019052419724143933
['এটি অন ্ যতম দীর ্ ঘস ্ থানশীল প ্ রাণীদের মধ ্ যে দেখা যায় ।'],It is one of the deepest-dwelling fish known.,[This is the land of many stalwarts.],0.21978021978021975,0.07326455453039867
['আমি তার চোখে তাকালাম ।'],I looked into her eyes.,[I look at him.],0.4189435336976321,0
['শিক ্ ষা শুরু'],The crackdown begins,[Achievement of Seekho aur Kamao,0.0,0
"['যাহোক, সে স ্ কুলে পাঠানো হয ় নি ।']","He was, however, not admitted to the hospital.","[For more details, please contact Dr.",0.09259259259259259,0
"['একিসময়, এর মধে ্ য একটি অন ্ যতম গুরুত ্ বপূর ্ ণ ভিতর ্ ণ অর ্ থায়নের উৎস হিসেবে বিদেশী থেকে দেওয়া অর ্ থের পরিমান গত অর ্ থের তুলনায় গত অর ্ থের চেয়ে কম চলেছে ।']","At the same time, remittances from abroad one of the key sources of external financing in have been decreasing in recent months compared to last year.",The Foreign Direct Investment (FDI) inflows into the country as a source of Guru Nanak Devjis preachings are far below the last rites of Guru Nanak Devji.,0.12411347517730496,0.02668802563418119
['তিনি পক ্ রনের জীবনে প ্ রাথমিক মৃত ্ যুর প ্ রথম বছরের মধে ্ য প ্ রাথমিক প ্ রধানমন ্ ত ্ রী অ ্ যাটল বয় ্ যাদি ভয ় োগিককে অনুমানন করেছিলেন ।'],"Rajnath Singh pays tribute to former prime minister Atal Bihari Vajpayee on his first death anniversary, at Pokhran.","[He describes Pankaj ji as a fierce warrior, who foresees the prevalence of Pankaj ji over the years as a devotee of Pankaj ji.]",0.07211538461538461,0
['সে বাইরে এলো না ।'],He didnt come out.,[No came out of it.],0.48218029350104813,0
['Colorful Logic game with arcade and tactics modes'],Colorful Logic game with arcade and tactics modes,[Colorful Logic game with arcade and tactics modes],0.9746570121951219,0.7319250547113999
['এই মন ্ ত ্ রের প ্ রক ্ ষেত ্ রীয় প ্ রধান হচ ্ ছে ব ্ যস ্ ত ্ রী ।'],The administrative chief of this ministry is the Secretary.,"[For more details, please contact Dr.",0.05050505050505051,0
['যে প ্ রতিষ ্ ঠান!'],What organization!,Ladies and Gentlemen,0.0,0
['তিনি বললেন তিনি এটা নিয়ে পরীক ্ ষা করার কথা বলবেন আর হবেন প ্ রয়োজনীয় সক ্ রিয ় তার ।'],He said he would look into it and take necessary action.,"[He said, he will talk about doing it simultaneously and it will be her personal endeavour.]",0.3331163194444444,0.03535533905932738
"['প ্ রায ় ই, এই আদর ্ শ অনুসারে অন ্ য কোন মানুষের কাছ থেকে মিটিং করার প ্ রশ ্ ন অনুসরণ করে ।']","Often, the invitation follows a request for a meeting from the other person.","[For more details, please click here to see the full text of PMs address in the Annexure.]",0.19230769230769232,0.027116307227332027
['অন ্ য পাখিদের ।'],other birds.,[Means of birds.],0.5681818181818182,0
['এখানে আর কিছু বলার নেই ।'],There is nothing more to say on this.,[I have nothing to say in this.],0.49010989010989015,0.23168286407366764
"['শুক ্ যন ্ দ ্ র ভিন ্ ন এশিয়ার মধ ্ যে, প ্ রায় দ ্ বিগুন সংখ ্ যক রাশিয়ার মুসলমান ယခု বছর হাদি কার ্ য অনুষ ্ ঠান করতে চাচ ্ ছেন সাউদ আরব এর ধারণ করে দেওয়ার চেয়ে ।']","According to Window on Eurasia, there are nearly twice as many Russian Muslims who'd like to perform hajj this year than Saudi Arabia would allow into the country.","[Means: Whether it is Vienna or South Asia, where Pujya Deuba is the master of Russian literature, irrespective of years of history, Saud Arabia wants to capture it.]",0.11146496815286625,0.023002185311411804
['মুখ ভারসাম ্ য পুষ ্ কা'],Distort the face,[ Muktivarsam Yojna],0.0,0
"['সুতরাং যখন তুমি এবং যারা তোমার সঙ ্ গে আছে ময়হারে নিহিত হও তখন বল, প ্ রতিষ ্ ঠিত স ্ বর ্ গ - প ্ রশংসা যা অস ্ তিত ্ বরের, ক ্ ষতিকর ্ মীদের মানুষদের থেকে আমাদের উদ ্ মুক ্ ত করেছে । """"']","""Then, when thou art seated in the Ark and those with thee, say, """"Praise belongs to God, who has delivered us from the people of the evildoers.""""""","[Means: When you and those who are sitting here on the edge of the moon, say: Patriotism, Patriotism, Patriotism, Patriotism, Patriotism, Patriotism, Patriotism, Patriotism, Patriotism, Patriotism, Patriotism, that is, Patriotism, Patriotism, Patriotism, Patriotism have inspired us.]",0.2535783904204957,0.09759000729485329
['এই ঘটনাতে দুই শ ্ রমিক ্ ষার ্ থী মারা গেল ।'],Two workers got injured in the incident.,Two more Keralites succumbed to the virus in the Gulf.,0.38027108433734946,0.18257418583505533
"['What are you trying to prove, Edmund?']","What are you trying to prove, Edmund?","What are you trying to prove, Edmund",0.8979985955056179,0.8451542547285166
"['সে বললো, আত ্ মীয় প ্ রাণগুলি এখনো পুনরুদ ্ ধার হয়ে গেছে ।']","The bodies are yet to be recovered, he added.","She said, ""Fire has still been resurrected"".",0.18181818181818182,0
['আইসবাদের সন ্ ত ্ রাসবাদী গ ্ রুপটি এই আক ্ রমণের জন ্ য দায়িত ্ ব তুলে ধরেছিল ।'],The ISIS terror group claimed responsibility for the attack.,[Means: Sandesh Tagore's Sanskrit phrase - Sanskrit phrase - Sanskrit phrase - Sanskrit phrase - Sanskrit phrase - Sanskrit phrase - Sanskrit phrase - Sanskrit phrase - Sanskrit phrase - Sanskrit phrase - Sanskrit phrase - Sanskrit phrase - Sanskrit phrase - Sanskrit phrase - Sanskrit phrase - Sanskrit phrase - Sanskrit phrase - Sanskrit phrase - Sanskrit phrase - Sanskrit phrase - Sanskrit phrase - Sanskrit phrase - Sanskrit phrase - Sanskrit phrase - Sanskrit phrase - Sanskrit phrase - Sanskrit phrase - Sanskrit phrase - Sanskrit phrase - Sanskrit phrase - Sanskrit phrase - Sanskrit phrase - Sanskrit phrase - Sanskrit phrase - Sanskrit phrase - Sanskrit phrase - Sanskrit phrase - Sanskrit phrase - Sanskrit phrase - Sanskrit phrase - Sanskrit phrase - Sanskrit phrase - Sanskrit phrase - Sanskrit phrase - Sanskrit phrase - Sanskrit phrase - Sanskrit phrase - Sanskrit phrase - Sanskrit def def def defines us us us us for the world'sdhi,0.0744047619047619,0.00892252743901681
['আমাদেরকে নিয ় মকানুনগুলো অনুসরণ করতে হয ় ।'],We have to follow rules.,[We need to follow protocols.],0.5090725806451614,0.316227766016838
"['সুতরাং, একজন সাফল ্ যের জন ্ য সংগ ্ রাষ ্ ট হয়েছে যদি তার সমস ্ যা এত গুরুত ্ বপূর ্ ণ ছিল, তাহলে সে বিশ ্ বাস ্ থ ্ যভাবে চিন ্ তা করতে পারে যে, কী ভাবে তা পূর ্ ণগ ্ রাষ ্ ট করার প ্ রয়োজন আছে ।']","Therefore, a person baptized while such a serious impediment existed may appropriately consider the necessity of rebaptism.","[Means: Shortly, a silent soldier could know how to utilise silos if he was immensely critical in his task.]",0.07692307692307691,0.017099639201419235
['উৎস: ইন ্ টারনেট'],Source: Internet,[Source: in tornet],0.5681818181818182,0
['তারা হাই কোর ্ ট এ আপিলের প ্ রতিজ ্ ঞা করেছেন ।'],They had appealed to the High Court.,"[For more details, please please visit the High Court at Patiala.]",0.4310344827586207,0.13483997249264845
['এটাই আমাদের পরিকল ্ পনা ।'],This is our plan.,"This is our turn, he said.",0.7075471698113208,0.447213595499958
['কিন ্ তু এটা শুধুমাত ্ র সরকার নয় ।'],But it isnt just the government.,[Consider is not a government in the United States.],0.19999999999999998,0.03726779962499649
['শেষ মুহূর ্ ত পর ্ যন ্ ত তারা দ ্ বন ্ দ ্ ব করত ।'],They were fighting till the last moment.,[Publication used to shy away from darkness],0.0,0
['বিশ ্ বায়নকেই সংস ্ কৃতিক ঐক ্ যগুলির ব ্ যাখ ্ যা হিসেবে বিশ ্ লেষণ করা হয়েছে ।'],Among many applicable topics within the field of study are: Globalization has been theorised as an explanation for cultural convergence.,"[Besides as Sanskrit, it means different forms of expression.]",0.07109004739336491,0.015525456646883137
['জে(এস) প ্ রেসিডেন ্ ট ও প ্ রাক ্ তন প ্ রধানমন ্ ত ্ রী HD Deve Gowda এর সন ্ তান  Kumaraswamy একটি ভিক ্ ষিতা ।'],"Kumaraswamy, son of the JD(S) supremo and former Prime Minister HD Deve Gowda, is a Vokkaliga.",[Shri HD Deve Gowda'sসন and Kumaraswamy a vision of Residency and P Ratnaman.],0.22410833492275414,0.14213495602508847
"['আমি এটাকে জগাখিচুড ় ি করে রেখে চলেছি, তাই এটা অনিরপরাধ রাস ্ তাকদের চিন ্ তায় ফেলে দিচ ্ ছে ।']","I left it noisy, so it scares away any pain-in-the-ass innocent bystanders.","[I am missing it, therefore, it is a mischievous mischievous rumour.]",0.17605633802816903,0.027531022470118405
['সাম ্ প ্ রতিক সমস ্ যার একটি ভিডিও সামাজিক মাধ ্ যমে দ ্ রুত ছড়িয়ে পড়ে ।'],A video of the latest incident has gone viral on social media.,[A video of the incident echoed through social media.],0.6038032945736435,0.26703545307500115
"['তাই, আমি demanding a CBI inquiry.']","So, I am demanding a CBI inquiry.",[We are demanding a CBI inquiry.],0.5533333333333333,0.3785581357133378
['তারপর रुमाल দিয়ে শুষ ্ ক করুন ।'],Then pat dry with a towel.,[Means: Should wear a mask on the face.],0.13333333333333333,0.04225771273642583
['৫০ শতাংশ নারীদের সক ্ রিয়ভাবে অংশগ ্ রহণ করে সম ্ প ্ রতিষ ্ ঠানের উন ্ নয়নের ক ্ ষেত ্ রে যাত ্ রা এক বিস ্ ময়কর উচ ্ চতা পর ্ যন ্ ত করতে পারে ।'],Active involvement of 50 percent women power in the development journey of nation can propel the country to amazing heights.,"Nanaji Deshmukh. Nanaji Deshmukh, Nanaji Deshmukh. Nanaji Deshmukh, Nanaji Deshmukh.",0.024509803921568627,0
['ত ্ যাপ ্ ত হয ় তির বিরুদ ্ ধে সন ্ ত ্ রণ করা হয ় ।'],Police have been attacked.,[Make Sanskrit Sanskrit meaning Sanskrit meaning Sanskrit meaning Sanskrit meaning Sanskrit meaning only.],0.1639344262295082,0
['স ্ টোক ্ স ছিল এই মঞ ্ চের অন ্ যতম অংশ ।'],Stokes was man of the match.,This was an integral part of the Acharyas agenda.,0.4323630136986301,0.20412414523193154
"['আজ পর ্ যন ্ ত, সে আমার বন ্ ধুদের মধ ্ যে একজন ।']","To this day, he is one of my closest friends.","Today, he is one of my old ancestors.]",0.5813754073057795,0.46542248844948597
"['"""""" আগের ইন ্ ডিয়ায় ক ্ যাপ ্ টিন மஹிந்த সিঞ ্ চ ডোনি এই আন ্ তর ্ জাতিক ক ্ রিক ্ ট সেখান থেকে বন ্ সর ঘোষণা করেছিলেন । """"']","""""""Former India captain Mahendra Singh Dhoni has announced his retirement from international cricket.""",This was stated by Raksha Mantri Shri Rajnath Singh in a written reply to a Lok Sabha question in Rajya Sabha today.,0.05405405405405404,0.014712247158412498
['আপনারা এখনকার অর ্ থনীতির মধ ্ যে এইসব জিনিস থেকে মুক ্ ত হয়ে গেছেন'],You have been freed of all these things in this years budget,[You are the pillars of today's policy that makes you free from these things],0.29760000000000003,0.033149677206589796
['সবচেয়ে ভাল অ ্ যানিমেশন চলচ ্ চিত ্ র: আ Spider-Man: Into The Spider-Verse'],Best Animated Feature Film: Spider-Man: Into The Spider-Verse,[Best Achievement: A Spider-Man: Into The Spider-Verse],0.6657910689028086,0.3276490485424231
['প ্ রাক ্ তন পাকিস ্ তান ক ্ যাপটিন ভারসামিক আkram অষ ্ ট ্ রেলিয়ার বিরুদ ্ ধে পরীক ্ ষা পর ্ যায়ে তাদের অসাধারন উল ্ লেখযোগ ্ য প ্ রতিফলন করার জন ্ য Team India কে প ্ রশংসা করেছে ।'],Former Pakistan captain Wasim Akram applauded Team India for their remarkable turnaround in the Test series against Australia.,[Passengers are appreciating Team India for their extraordinary performance in the aftermath of the pandemic after a lot of hard work.],0.32548403976975404,0.2390457218668787
['আমরা এই বিষয়টা পরবর ্ তী সেশনে তুলে ধরবো ।'],We will raise this issue in the next session.,[We will discuss this in the next session.],0.7711943069306932,0.37292300600205397
['ভ ্ রান ্ তে আসার আগে রোগী পরীক ্ ষা করা হচ ্ ছে । শুধু অস ্ থমিত ভ ্ রমণকদেরই ভ ্ রমন করা সম ্ ভব ।'],Medical screening of passengers would be done before taking the flight. Only asymptomatic passengers would be allowed to travel.,"He said, patients will be treated before reaching the hospital, only those who are in critical condition will be treated.",0.14150943396226415,0.0324442842261525
['প ্ রায়শই বিশৃঙ ্ খল ধাক ্ কা খায় ।'],Chaos usually ensues.,[Publication is fragmented and it loses its meaning.],0.10638297872340427,0
['একবারও?'],yet again?,"[For more details, please contact Dr.",0.0,0
['মোবাইল এবং ইন ্ টারনেট যোগাযোগও ক ্ ষতিগ ্ রস ্ থ হয়ে গেছে ।'],Mobile and internet connection has also been affected.,[Mobile and intelligent connectivity is also available],0.3506944444444444,0.05982025827726344
"['যুক ্ তরাষ ্ ট ্ রের সশস ্ ত ্ র সৈন ্ যসক ্ ষেত ্ রে কাজ এড়াতে সে ফ ্ রান ্ সে ভ ্ রমণ করলো ফ ্ রেঞ ্ চ আর ্ মিতে যুক ্ ত হবার জন ্ য, ১৯۴۶ সালে ।']","To avoid service in the United States Armed Forces, he travelled to France to join the French Army in 1946.","[For more details, INPUTS FROM PIB FIELD OFFICES Haryana: Chief Minister said that the State Government has taken a major decision to relax the lockdown restrictions in the wake of COVID-19 pandemic.",0.14957264957264957,0.06350006350009527
['সুদ ্ বন ্ ধ ব ্ যবস ্ থায় (SBI) বৃদ ্ ধিজীবিদের জন ্ য সর ্ ব জনগোষ ্ ঠীভুক ্ ত থেকে 50-ব ্ যাপী উচ ্ চ মূল ্ য বেতনের বন ্ ধক ্ ষনা দিচ ্ ছে ।'],SBI is offering senior citizens 50 bps higher interest rate than that given to general public.,"[SBI announces revision of pay scales from 50 to 100 of basic wages to daily wage earners, says the Survey.]",0.11299435028248588,0.022941573387056175
['শুধুমাত ্ র দুটি ভিডিও দৃশ ্ যমান হয়েছে ।'],Only two videos have surfaced.,[Two videos in the past],0.3073770491803279,0.07071067811865477
['ব ্ যাক ্ রীস ্ ট ক ্ যান ্ সার necə পরিষ ্ কার করা হয়?'],How is pancreatic cancer treated?,"[For more details, Telephone conversation between PM and President of USA",0.0,0
['তিনি এখন আর তদন ্ ত করতে হচ ্ ছেন police custody এ ।'],He is currently being questioned in police custody.,He is in police custody now.],0.6320224719101123,0.3700151777184613
['চারটা মোবাইল ফোনও পুনরুদ ্ ধার করা হয়েছে ।'],Four mobiles were recovered.,Four mobile phones have also been re-opened.],0.4732510288065844,0.048795003647426664
"['একটা গর ্ ধ কুকুর যে একটা মাংস পিক ্ সিক টেবিলে দেখে, সে চিন ্ তা করতে না পারতো তার মাংসটা কি খাবো না ।']",A hungry dog finding a piece of meat on a picnic table would hardly ponder whether it should eat the morsel.,"[Means: The person who sees a goat in the pink table, couldn't symptomatic, couldn't symptomatic.]",0.11312217194570134,0.020686525730008565
['জমি-ট ্ যাক ্ স'],land-tax,"[Jomi-Talent, Tru.]",0.0,0
